$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$f1,<$f2
1.539192445,1.261258793,1.539836826,1.108797781,5.313369669,1.014843075,5.591471142,1.075493983,1.071380372,1.605461711,6.935902882,1.00949775,1.232038927,1.042507399,0.892866511,1.379563429,1.107702377,0.920721167,7.347543091,1.154888442,0.903184905,232.7132882,1.010396917,5.229493613,0.995665081,2.664103514,1.258538538,494.2129797,17.88886614
4.586210636,1.262293837,1.074355094,1.155762972,5.229518505,0.836025715,5.638704018,1.166477415,1.049538129,4.502678544,6.294950386,0.900251526,1.010860046,0.957749529,0.860606131,1.314254418,1.056809081,1.138900211,8.564319433,1.067260751,0.779477501,63.59465612,0.973066239,3.33299597,1.147896155,1.179286831,0.933126797,2666.613329,54.39831637
4.039088095,1.33770162,1.253534711,0.829234617,2.193002921,1.009210533,1.979733659,1.229838278,0.981150973,1.839159476,3.413618563,1.070137386,2.097957575,1.107839465,0.992822295,1.592198059,1.117478694,1.190245021,9.263016739,0.92088073,0.965792068,303.9990359,1.188259966,4.308846224,1.135862352,1.201467211,1.243201143,522.1691806,19.17099439
5.378459239,1.192440444,1.723230349,0.950480906,3.309994884,0.758670125,5.437049144,0.854940208,1.025165628,1.554400591,5.700398742,0.831749235,4.540236609,1.196595646,1.0138399,1.527944254,1.004580794,0.893996582,7.783994294,0.960779178,0.942295756,364.5652131,1.122326688,1.734398588,1.130434159,2.637880846,0.942114335,3801.206494,36.42468196
4.131310947,1.403259034,0.764302878,0.882921462,4.674863074,0.800983389,5.286974914,1.206759325,0.925279444,3.405218888,3.367412675,1.066389201,2.691346767,1.173797886,0.922203449,1.465077289,1.014532453,0.988504038,3.84195756,0.943266802,0.948054857,405.0703028,1.180323979,5.636651196,1.135402216,3.628801886,1.061800833,472.9725506,24.40887393
5.294209253,1.10060271,1.474166967,1.063635306,6.640131251,1.035421684,4.957490994,0.917984555,0.965333249,1.557543004,6.796390117,0.991731251,4.149002987,0.900340404,0.808545771,1.220496278,1.033572313,1.1932132,5.462206888,0.911177482,0.801526829,373.7818817,0.884302906,5.704962546,0.952576167,5.459462833,1.234411175,2698.750421,52.43687232
5.876190788,1.004718668,1.276867696,0.814997603,1.846936117,0.881057431,4.083290188,1.210961446,1.096498008,3.90880842,4.697134681,1.108552493,2.223627377,1.09147288,0.833621547,1.14822452,1.002316223,0.920759136,8.727078273,1.102751025,0.917018944,53.19404993,1.193360164,4.524506824,1.205847385,3.335140096,1.225557951,1684.508635,25.35030354
5.447715137,1.172976203,1.480470507,0.801134796,6.502711621,1.050687742,1.36717523,1.157102304,0.976516351,3.747288745,2.538395626,0.859129891,1.747445277,1.279762123,0.937659317,1.455582547,1.15077103,1.072808226,3.629678023,1.108241563,0.927416109,52.96907169,1.018048849,2.128958345,1.043642861,4.159541094,1.199515104,1607.00606,27.82785806
1.8871045,1.136085121,1.224791176,0.932519014,2.384504304,0.748308621,3.974824156,1.184144728,0.943096792,4.02310929,3.691743825,1.086594257,3.978283597,0.84502784,0.793041466,1.154293731,1.102049383,0.858254422,4.146877413,1.074346519,0.901322168,266.8155767,1.138172278,5.673742194,1.103490144,1.043566312,1.081117855,2195.268143,31.53607771
4.939501469,1.146562004,0.878217103,1.077046916,4.206114393,1.177602785,2.342290094,1.110771368,1.095562639,2.834147665,5.879137924,1.210390978,1.637544355,0.943662357,0.899818312,1.623259865,1.055278258,0.845563282,8.448856816,0.958630183,0.769568258,158.610831,0.9524051,3.128236492,1.056965336,1.505189872,1.159808784,1030.815412,31.13354
4.009720201,1.402573758,1.295713669,0.964641156,3.984389974,0.960279422,2.691745651,1.237021356,0.943316071,5.35275529,5.927360637,0.86484014,1.207701384,1.261249238,0.960457278,1.224001797,1.164610691,1.085240931,8.447126774,1.043399742,0.924634125,33.55277102,1.07500986,2.340318315,0.969284542,1.088371833,0.872479052,3463.00539,33.14087098
