$aa,$sced,$cplx,$site,$resl,$acap,$etat,$rely,$Data,$prec,$pmat,$aexp,$flex,$pcon,$tool,$time,$stor,$docu,$b,$plex,$pcap,$kloc,$ltex,$pr,$ruse,$team,$pvol,<$f1,<$f2
3.651071263,1.000000667,1.716167978,1.095716771,3.558504463,0.961010042,2.624982516,1.127391457,0.927573094,2.703133899,5.173255177,0.966329673,2.064011813,1.073788049,1.090000545,1.022986143,1.015612828,0.820723989,8.54506642,0.915763911,0.822755303,759.9363641,0.911660165,2.058262854,1.106016536,4.966541076,0.987689986,2284.957605,59.22958298
4.25131131,1.000000389,1.535710099,1.05106171,6.955788423,0.792778169,4.533867624,1.133890363,0.997795303,2.562565499,5.839925094,1.211386473,2.009798274,1.262517001,1.090000028,1.03752838,1.049074537,0.969444635,8.17147078,0.916491007,0.976967933,932.2772086,1.050145096,5.227100333,1.103824466,2.901036399,1.258339246,1145.415359,22.61316305
5.571940411,1.000000734,1.341374225,1.073874174,2.649026994,0.95136222,2.980974523,1.177827618,0.901843109,5.708575508,5.713130453,1.21642764,4.090819477,1.097335189,1.090000353,1.056229341,1.022334455,0.844764642,4.398227969,1.03195045,0.793000848,292.7465974,1.015810199,4.081055516,1.019378009,2.994430329,0.929911987,1674.272479,25.07850325
1.138241226,1.000000812,1.507508834,1.046762195,3.00209795,0.979104236,3.536530854,1.091114519,0.958154003,3.49077847,5.355032453,1.098420019,3.845134061,0.972285897,1.090000481,1.039476868,1.038734368,0.921691425,6.304488536,1.04248602,0.935980894,443.7378028,1.014441959,1.884907704,1.165506482,3.635515042,1.003500071,5443.559988,49.62165376
1.766753417,1.000000363,1.452230622,0.88207745,3.710469469,0.955954636,5.50086372,1.060534357,0.946590103,3.95460967,5.627339932,1.027584158,4.510775618,0.972751921,1.090000292,1.013052115,1.037638363,0.834853895,3.053491155,0.934891331,0.793816449,33.27440997,1.183441213,4.882787237,1.036231595,2.022934151,1.278385313,1626.152122,24.85585291
5.591903708,1.000000458,1.080719717,1.135196723,6.609054055,0.710240165,3.516085156,1.173445059,0.963864329,2.790949493,5.701009734,1.209034817,4.072056429,0.999879871,1.090000074,1.078900195,1.034578631,0.892150949,8.524989941,1.089434429,0.919002197,126.3857454,1.171917707,2.462661499,1.210022894,2.976714438,0.945609647,3080.799321,35.59516174
3.17798091,1.000000619,1.391382798,1.068524084,6.847587723,0.814453724,1.251468502,1.258062649,0.945008746,2.120444906,5.066380964,0.832082235,2.786939111,1.132470315,1.090000307,1.082858644,1.000337706,1.06641263,3.717773232,1.093477688,0.784922374,25.11093359,1.179039198,1.60466891,1.002491865,2.258006032,0.909061694,1189.320499,32.60759603
3.515653376,1.000000909,1.29516948,1.05447163,2.589204788,0.785451058,3.718181704,1.231610599,0.961978203,6.096620099,6.128158211,1.020090587,3.314554744,1.172024386,1.090000808,1.000179583,1.011177368,0.998204922,7.439997628,0.940938433,0.904176034,505.6782076,1.027068127,1.964532343,0.986996639,4.233915826,1.083957924,773.1357348,22.84035605
4.141316584,1.000000952,1.499164888,0.81458525,3.026170059,0.996975678,2.765697616,1.0843721,0.902419923,2.745634414,5.009788013,1.024308271,4.57965451,1.024867077,1.090000821,1.024739249,1.009175075,1.10673561,3.342146014,1.012498847,0.890835719,28.60052726,1.119325381,2.966976358,1.039986574,1.111758315,1.095004068,2931.983992,34.02859072
4.362439412,1.000000115,1.165733512,1.175629258,6.751870774,0.723506445,5.508537208,1.194123206,0.920944965,2.282262613,5.254688723,1.161160595,3.215804292,0.892198766,1.090000726,1.086265579,1.008563409,0.956552221,4.346454365,0.995977803,0.874036812,335.6445681,1.145477617,3.721299044,1.134425297,5.16788317,1.297634835,570.5452937,25.53003602
4.454817471,1.000000073,1.065992611,1.159953175,3.668469776,0.756860873,3.659646042,1.221037942,0.976462569,2.547563487,5.365920299,1.214537999,2.684285896,1.001402021,1.090000156,1.078529266,1.029093147,1.168770123,6.145506364,0.95158012,0.864084525,647.4785403,1.042568103,1.776415272,1.201842291,2.236127959,1.088683114,1044.856512,21.81422311
2.861601023,1.000000064,1.149062403,1.086826187,5.122512557,0.910903261,1.025095233,1.257986505,0.928712154,3.55999426,5.629889519,0.923059958,3.809052571,1.084886177,1.090000235,1.083764647,1.005328704,1.094049161,4.150722202,0.998825826,0.918553159,463.3808439,0.962094264,2.984706215,1.173314258,3.476016272,1.286715769,1460.520816,28.8890951
4.856799017,1.000000306,1.595317151,0.811802781,3.436620409,0.909253304,5.636218129,1.16190224,0.938126688,3.446427757,6.152156346,1.103751633,2.979438498,0.898252978,1.09000015,1.064050561,1.035360526,1.179382411,3.753889338,0.950831382,0.761814736,772.0098807,0.928676204,5.552029214,1.079170179,1.852273886,1.123945991,1035.405476,30.40598611
5.33882369,1.000000789,1.736864648,0.83691179,3.498989155,0.80502689,3.491092273,1.045470756,0.988109136,4.071575892,6.136069305,1.172501298,1.621904279,0.901619992,1.090000538,1.056454641,1.014290086,1.159687432,7.013365604,1.145769043,0.768208722,369.9895661,1.192419232,3.245170793,0.98620674,3.058077775,1.247764053,916.204669,39.56637478
1.028482827,1.000000798,1.02086795,1.148763575,6.365044836,0.925754554,1.573107057,1.005632362,0.963858852,2.520821177,6.031725284,1.197034049,2.620218927,0.932782439,1.090000127,1.047895802,1.007588401,1.095634492,5.945417978,1.178510336,0.854724734,760.2600818,0.989223516,5.088531009,0.993759202,3.537609495,0.921302621,1602.487399,24.92252691
4.705128335,1.000000871,1.030925366,1.192932065,5.06434873,0.885031307,1.725829643,1.16912024,0.985802417,5.594606577,5.83039345,0.989847539,2.035223461,1.04735722,1.090000752,1.04881924,1.034799611,1.00321215,4.674328199,1.165775189,0.937642751,81.26783202,1.061659723,5.553397034,1.230816754,2.293916869,1.24878583,1108.533529,40.93390855
3.549264501,1.00000029,1.71328927,0.987925603,4.500050776,0.719151604,1.208098844,1.182016017,0.946111704,4.422221863,6.09704206,1.053188564,1.697479159,1.156148006,1.09000001,1.064793848,1.034851871,0.999464767,7.175104401,1.097520892,0.779865858,947.1188831,1.141750014,3.213459629,0.968340264,2.842146906,1.044611574,7789.750569,82.15269655
3.400569555,1.000000481,1.04442803,0.95364765,1.595964489,0.847441743,2.928072654,1.177962476,0.96297015,1.448148621,4.975494667,0.862510094,1.582085965,1.212346967,1.090000005,1.020082557,1.046241164,1.125552316,6.346443923,1.16927899,0.858656431,765.9720286,0.999819859,1.525380112,1.024462385,4.892577921,1.25846458,150.2701145,24.08030879
2.337225066,1.000000072,1.064999329,0.839688426,3.933870619,0.919480697,3.153149461,1.14861768,0.909371431,5.327456335,5.389573655,1.109817883,3.677399481,1.289300403,1.090000372,1.078058594,1.017765475,1.12723241,5.327257623,1.119037165,0.979732596,209.520043,0.986000943,2.587812041,1.195726892,1.615605369,1.001993201,541.1271777,20.71670436
2.433013774,1.000000896,1.351708941,1.141056036,4.211435784,0.722746506,2.558037819,1.050689961,0.928340317,5.029456851,5.693593128,0.839910965,3.226332596,0.871143706,1.090000326,1.045519424,1.043325307,0.960159627,3.946326598,1.022779109,0.76058541,971.2115488,1.17503039,1.136917925,1.205657431,5.017555311,0.98259769,1771.328903,49.01788419
2.313909712,1.000000843,1.174750264,0.880440185,3.333387422,0.85021681,4.443759074,1.074772514,0.938522867,4.271589606,5.34907392,1.120966834,4.287379404,1.002758952,1.090000382,1.033885342,1.000917645,1.114249555,5.075319419,1.035071127,0.965375018,583.3189995,1.090030036,3.055183564,0.95824201,3.616462098,1.040753685,908.9771337,39.59814083
4.402303983,1.000000098,1.408129047,0.882850796,3.549467972,0.848501811,3.253097823,1.046693462,0.958141636,3.336550031,5.491514955,1.202965156,3.385947778,1.257057064,1.090000769,1.036969822,1.022790624,0.956158498,6.473018266,1.058611705,0.762928783,476.6033949,1.108196929,5.962214766,1.237828682,2.797653641,1.029677219,3673.343556,44.29628955
1.272808935,1.000000016,1.628345494,0.884396109,1.840377403,0.92718436,5.38488052,1.052396965,0.942789231,5.264065828,5.29157513,0.926951877,1.763410297,1.090680593,1.090000233,1.073428753,1.031760487,0.924945759,9.837182483,1.157646456,0.938088363,822.0235454,0.952612445,4.516726624,1.235941757,4.697724465,0.974634232,556.0339303,26.80623243
3.295398998,1.000000735,1.320702454,0.842825133,5.597138337,0.86777018,4.861545217,1.025793897,0.997989233,5.469698384,5.866740737,1.009115722,2.162270093,0.919513594,1.090000348,1.012995365,1.048111868,0.872338205,5.341373151,0.927001211,0.781477482,361.8548361,1.078836532,1.93015359,1.123598499,5.317415296,0.89039523,896.660978,40.62634576
4.255867054,1.000000626,1.12049399,1.145520721,5.018654211,0.812970223,4.509706169,1.089548885,0.990693578,2.677311503,5.800351124,1.211545558,4.95757685,1.252758165,1.090000532,1.101285191,1.02962027,0.855797657,9.334489366,1.070325729,0.878680586,396.2127209,1.070575594,1.571851195,1.180257525,1.886509409,1.12699011,4680.965176,64.07666883
3.724520181,1.000000808,1.119353332,1.191532444,5.181540707,0.834374756,2.226192939,1.188708161,0.952005187,2.375733531,5.330597384,0.879433809,1.33849344,1.041120251,1.090000067,1.089571304,1.018373425,1.132172952,4.249059581,1.020145605,0.818950225,871.6438228,1.183790243,5.353989694,1.175378717,2.552915091,1.037954714,132.1276457,22.79851125
