$no_mbtree,$no_asm,$no_cabac,$no_scenecut,$aq_strength,$bframes,$qcomp,$qp,$ref,$rc_lookahead,$b_bias,$threads,$keyint,$crf,$scenecut,$seek,$ipratio, <$SSIM, <$Time
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,0.990621988,47.13888889
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,0.9906194,67.33333333
0,1,0,0,1,3,0.6,23,3,200,0,4,250,23,40,0,1.4,0.9906194,18.625
0,1,0,0,1,1,1,23,3,40,0,4,250,23,40,0,1.4,0.9905812,52.66666667
0,1,0,0,1,1,0,23,3,40,0,4,250,23,40,0,1.4,0.9837802,43.46666667
0,1,0,0,1,3,1,23,3,40,100,4,250,23,40,0,1.4,0.9905656,54
0,1,0,0,1,3,0,23,3,40,100,4,250,23,40,0,1.4,0.984179,46.2
0,1,0,0,1,3,1,23,3,40,0,4,250,23,1,0,1.4,0.9904859,54.6
0,1,0,0,1,3,0,23,3,40,0,4,250,23,1,0,1.4,0.9838827,46.66666667
0,1,0,0,1,25,1,23,3,40,0,4,250,23,40,0,1.4,0.9905758,52.26666667
0,1,0,0,1,25,0,23,3,40,0,4,250,23,40,0,1.4,0.9842268,42.33333333
0,1,0,0,1,3,1,23,3,40,0,4,1,23,40,0,1.4,0.9912617,18.86666667
0,1,0,0,1,3,0,23,3,40,0,4,1,23,40,0,1.4,0.9728183,17.26666667
0,1,0,0,1,3,1,23,3,40,0,4,250,23,100,0,1.4,0.9905977,55
0,1,0,0,1,3,0,23,3,40,0,4,250,23,100,0,1.4,0.9843968,47.2
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,1.4,0.9905807,53.4
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,1.4,0.9842677,44.4
0,1,0,0,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,0.9905685,53.46666667
0,1,0,0,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,0.9842284,44.53333333
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,0,0.9818518,52.26666667
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,0,0.9818518,52.33333333
0,1,0,0,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9890787,51.5
0,1,0,0,2,3,0.6,0,3,40,0,4,250,23,40,0,1.4,0.9890787,51.5
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,2,0.989251,51.4
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,2,0.989251,51.33333333
0,1,0,0,0,3,0.6,23,0,40,0,4,250,23,40,0,1.4,0.9890516,38.13333333
0,1,0,0,2,3,0.6,23,0,40,0,4,250,23,40,0,1.4,0.9890516,38.06666667
0,1,0,0,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9890787,51.41666667
0,1,0,0,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,0.9890787,51.5
