$no_mbtree,$no_asm,$no_cabac,$no_scenecut,$aq_strength,$bframes,$qcomp,$qp,$ref,$rc_lookahead,$b_bias,$threads,$keyint,$crf,$scenecut,$seek,$ipratio, <$Time, <$Watt
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.13888889,35.60039746
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,67.33333333,49.35373134
0,1,0,0,1,3,0.6,23,3,200,0,4,250,23,40,0,1.4,18.625,165.1482329
0,1,0,0,1,1,1,23,3,40,0,4,250,23,40,0,1.4,52.66666667,153.3757233
0,1,0,0,1,1,0,23,3,40,0,4,250,23,40,0,1.4,43.46666667,149.6995744
0,1,0,0,1,3,1,23,3,40,100,4,250,23,40,0,1.4,54,151.1494531
0,1,0,0,1,3,0,23,3,40,100,4,250,23,40,0,1.4,46.2,146.1290503
0,1,0,0,1,3,1,23,3,40,0,4,250,23,1,0,1.4,54.6,152.2626667
0,1,0,0,1,3,0,23,3,40,0,4,250,23,1,0,1.4,46.66666667,146.9113475
0,1,0,0,1,25,1,23,3,40,0,4,250,23,40,0,1.4,52.26666667,153.4344473
0,1,0,0,1,25,0,23,3,40,0,4,250,23,40,0,1.4,42.33333333,149.70625
0,1,0,0,1,3,1,23,3,40,0,4,1,23,40,0,1.4,18.86666667,154.9840048
0,1,0,0,1,3,0,23,3,40,0,4,1,23,40,0,1.4,17.26666667,154.5716062
0,1,0,0,1,3,1,23,3,40,0,4,250,23,100,0,1.4,55,152.5550429
0,1,0,0,1,3,0,23,3,40,0,4,250,23,100,0,1.4,47.2,148.3786151
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,1.4,53.4,152.4527475
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,1.4,44.4,148.0975003
0,1,0,0,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,53.46666667,152.5584219
0,1,0,0,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,44.53333333,148.3450591
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,0,52.26666667,150.5399057
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,0,52.33333333,150.3911392
0,1,0,0,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,51.5,151.0016998
0,1,0,0,2,3,0.6,0,3,40,0,4,250,23,40,0,1.4,51.5,150.9012769
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,2,51.4,150.9378065
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,2,51.33333333,150.8886452
0,1,0,0,0,3,0.6,23,0,40,0,4,250,23,40,0,1.4,38.13333333,151.522099
0,1,0,0,2,3,0.6,23,0,40,0,4,250,23,40,0,1.4,38.06666667,151.1517526
0,1,0,0,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,51.41666667,151.010518
0,1,0,0,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,51.5,150.9023149
0,1,0,0,0,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,52,154.6580892
0,1,0,0,2,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,51.93333333,154.8860746
0,1,0,0,0,3,0.6,23,9,40,0,4,250,23,40,0,1.4,75.73333333,152.1855612
0,1,0,0,2,3,0.6,23,9,40,0,4,250,23,40,0,1.4,75.73333333,152.2335681
0,1,0,0,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,51.53333333,114.4219492
0,1,0,0,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,38.53333333,122.6434218
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,54.53333333,113.3155913
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,39.13333333,122.260387
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,54.73333333,113.748592
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,39.66666667,122.3959435
0,1,0,0,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,14.53333333,123.8719785
0,1,0,0,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,14.66666667,123.6375
0,1,0,0,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,46.13333333,118.5174713
0,1,0,0,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,38.4,122.4620068
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,66.66666667,141.8234826
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,38.13333333,122.3318056
0,1,0,0,0,3,1,23,3,40,0,4,250,23,40,0,1.4,53.4,152.4505544
0,1,0,0,0,3,0,23,3,40,0,4,250,23,40,0,1.4,44.4,147.840597
0,1,0,0,2,3,0,23,3,40,0,4,250,23,40,0,1.4,44.4,148.0964268
0,1,0,0,2,3,1,23,3,40,0,4,250,23,40,0,1.4,53.33333333,152.358395
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,0,45.53333333,147.69735
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,0,54.13333333,151.8689765
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,2,44.46666667,147.9840741
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,2,53.4,152.3843885
0,1,0,0,1,3,0,0,3,40,0,4,250,23,40,0,1.4,44.5,147.9411291
0,1,0,0,1,3,1,0,3,40,0,4,250,23,40,0,1.4,53.41666667,152.4740281
0,1,0,0,1,3,0,51,3,40,0,4,250,23,40,0,1.4,44.41666667,148.0750912
0,1,0,0,1,3,1,51,3,40,0,4,250,23,40,0,1.4,53.5,152.1585067
0,1,0,0,1,3,0,23,0,40,0,4,250,23,40,0,1.4,34.06666667,148.2056404
0,1,0,0,1,3,1,23,0,40,0,4,250,23,40,0,1.4,38.06666667,153.1868366
0,1,0,0,1,3,0,23,9,40,0,4,250,23,40,0,1.4,63.73333333,148.2741667
0,1,0,0,1,3,1,23,9,40,0,4,250,23,40,0,1.4,81.13333333,153.3711064
0,1,0,0,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,44.53333333,154.5471432
0,1,0,0,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,54.93333333,155.1472903
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,0,38.86666667,122.0205181
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,0,53.8,113.4452075
0,1,0,0,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,38.26666667,122.3665048
0,1,0,0,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,53.26666667,113.7284602
0,1,0,0,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,38.26666667,122.4551121
0,1,0,0,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,53.2,113.624306
0,1,0,0,1,3,1,23,3,1,0,4,250,23,40,0,1.4,42.73333333,122.0068959
0,1,0,0,1,3,1,23,3,250,0,4,250,23,40,0,1.4,42.73333333,121.8871406
0,1,0,0,1,3,0,23,3,1,0,4,250,23,40,0,1.4,30.46666667,120.355036
0,1,0,0,1,3,0,23,3,250,0,4,250,23,40,0,1.4,48.06666667,110.6536239
0,1,0,0,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,52.13333333,114.6315731
0,1,0,0,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,36.86666667,123.414621
0,1,0,0,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,54.6,112.9961228
0,1,0,0,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,38.46666667,121.8719906
0,1,0,0,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,53.06666667,116.1562
0,1,0,0,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,40,124.4793377
0,1,0,0,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,71.86666667,116.6423458
0,1,0,0,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,57.46666667,123.0134716
0,1,0,0,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,42.66666667,112.2999814
0,1,0,0,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,27.66666667,123.2194615
0,1,0,0,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,66.66666667,142.2427568
0,1,0,0,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,47.75,152.9270235
0,1,0,0,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,66.58333333,142.1971368
0,1,0,0,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,47.83333333,152.7439811
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,2,53.06666667,113.7192189
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,2,38.26666667,122.323728
0,1,0,0,2,25,0.6,23,3,40,0,4,250,23,40,0,1.4,49.73333333,152.1901166
0,1,0,0,0,25,0.6,23,3,40,0,4,250,23,40,0,1.4,49.86666667,152.5170013
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,1,0,1.4,53.33333333,150.1376398
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,1,0,1.4,53.46666667,150.1617077
0,1,0,0,2,3,0.6,23,3,40,100,4,250,23,40,0,1.4,52.93333333,149.820125
0,1,0,0,0,3,0.6,23,3,40,100,4,250,23,40,0,1.4,52.93333333,149.843217
